Kq,MaximumRealPole,ShortPeriodDampingRatio,ShortPeriodNaturalFrequency_rad_s,Stable
-0.4,-0.00249214049604577,0.897648426953487,3.0310309362096,1
-0.396153846153846,-0.00249105011620465,0.892256878656517,3.02744903565225,1
-0.392307692307692,-0.00248997159569829,0.886853813567575,3.02386283834359,1
-0.388461538461539,-0.00248890514065075,0.881439171982452,3.02027232904206,1
-0.384615384615385,-0.00248785096031717,0.876012893728241,3.01667749241999,1
-0.380769230769231,-0.00248680926713462,0.870574918158481,3.01307831306297,1
-0.376923076923077,-0.00248578027677471,0.86512518414824,3.00947477546919,1
-0.373076923076923,-0.00248476420819704,0.859663630089132,3.00586686404883,1
-0.369230769230769,-0.00248376128370348,0.854190193884272,3.00225456312345,1
-0.365384615384616,-0.00248277172899288,0.84870481294317,2.99863785692529,1
-0.361538461538462,-0.00248179577321798,0.843207424176548,2.99501672959667,1
-0.357692307692308,-0.00248083364904221,0.837697963991108,2.9913911651893,1
-0.353846153846154,-0.00247988559269847,0.832176368284213,2.98776114766367,1
-0.35,-0.00247895184404831,0.826642572438514,2.98412666088834,1
-0.346153846153846,-0.00247803264664283,0.821096511316497,2.98048768863931,1
-0.342307692307692,-0.00247712824778387,0.815538119254974,2.97684421459932,1
-0.338461538461538,-0.0024762388985871,0.80996733005948,2.9731962223572,1
-0.334615384615385,-0.00247536485404625,0.804384076998616,2.96954369540716,1
-0.330769230769231,-0.00247450637309747,0.798788292798313,2.96588661714812,1
-0.326923076923077,-0.00247366371868735,0.79317990963601,2.96222497088303,1
-0.323076923076923,-0.00247283715783876,0.787558859134778,2.95855873981814,1
-0.319230769230769,-0.002472026961721,0.78192507235734,2.95488790706232,1
-0.315384615384615,-0.0024712334057194,0.776278479800032,2.95121245562635,1
-0.311538461538462,-0.00247045676950775,0.770619011386678,2.94753236842223,1
-0.307692307692308,-0.00246969733712004,0.76494659646238,2.9438476282624,1
-0.303846153846154,-0.00246895539702552,0.759261163787231,2.94015821785908,1
-0.3,-0.00246823124220488,0.753562641529942,2.93646411982353,1
-0.296153846153846,-0.00246752517022619,0.747850957261381,2.93276531666528,1
-0.292307692307692,-0.00246683748332423,0.742126037948033,2.92906179079145,1
-0.288461538461539,-0.00246616848848115,0.736387809945363,2.92535352450595,1
-0.284615384615385,-0.0024655184975073,0.730636198991102,2.92164050000877,1
-0.280769230769231,-0.00246488782712467,0.724871130198427,2.91792269939523,1
-0.276923076923077,-0.00246427679905231,0.719092528049065,2.91420010465519,1
-0.273076923076923,-0.00246368574009213,0.713300316386292,2.91047269767232,1
-0.269230769230769,-0.00246311498221759,0.707494418407839,2.9067404602233,1
-0.265384615384615,-0.00246256486266319,0.701674756658713,2.90300337397708,1
-0.261538461538462,-0.00246203572401663,0.695841253023901,2.89926142049407,1
-0.257692307692308,-0.00246152791431173,0.689993828720992,2.89551458122539,1
-0.253846153846154,-0.00246104178712384,0.684132404292689,2.89176283751205,1
-0.25,-0.00246057770166702,0.678256899599221,2.88800617058417,1
-0.246153846153846,-0.00246013602289328,0.672367233810643,2.88424456156021,1
-0.242307692307692,-0.00245971712159264,0.666463325399052,2.88047799144609,1
